Request_Number,Connect_Time(s),TLS_Handshake(s),Total_Time(s),Elapsed_Time(s),Status,Success_Count,Bytes_Sent(B),Bytes_Received(B),KEM,Signature,Cert_Size(B)
445,0.011495,0.739124,0.832059,0.20723295211791992,Success,491/500,1282,21308,x25519_mlkem512,dilithium5,14953
490,0.096799,0.670769,0.678733,0.24359631538391113,Success,492/500,1282,21308,x25519_mlkem512,dilithium5,14953
424,0.017753,0.665481,0.908969,0.10480833053588867,Success,493/500,1282,21302,x25519_mlkem512,dilithium5,14953
492,0.104709,0.775484,0.812527,0.1389775276184082,Success,494/500,1282,21308,x25519_mlkem512,dilithium5,14953
474,0.053441,0.820611,0.825678,0.18472838401794434,Success,495/500,1282,21308,x25519_mlkem512,dilithium5,14953
416,0.006332,0.884186,0.916564,0.21406793594360352,Success,496/500,1282,21308,x25519_mlkem512,dilithium5,14953
476,0.061004,0.778319,0.791575,0.1883711814880371,Success,497/500,1282,21308,x25519_mlkem512,dilithium5,14953
475,0.124191,0.79571,0.815744,0.14301586151123047,Success,498/500,1282,21308,x25519_mlkem512,dilithium5,14953
473,0.11802,0.724676,0.735784,0.24280428886413574,Success,499/500,1282,21308,x25519_mlkem512,dilithium5,14953
442,0.040661,0.660179,0.844153,0.21090483665466309,Success,500/500,1282,21308,x25519_mlkem512,dilithium5,14953
